Titel,Geschäftsart,ID,Datum,Erstunterzeichner,Partei Erstunterzeichner,Mitunterzeichner,Partei Mitunterzeichner,Geschäftsstatus,Entscheid,_entscheidbereinigt
"Parkierung der Fahrzeuge von Carsharing-Unternehmen auf öffentlichen Parkplätzen, Änderung der Vorschriften über die Parkierung- und Parkuhrkontrollgebühren",Motion,93ca55a6e3c847229ce0f5544afef5c8,2018-01-10T00:00:00.000,Guy Krayenbühl,GLP,Sven Sobernheim,GLP,InBearbeitung,"Überweisung mit Textänderung, Frist 24 Monate",Überweisung
"Anpassung der Beiträge für die Bildungsfinanzierung für Personen, die aufgrund ihrer finanziellen Situation auf Hilfe angewiesen sind, Teilrevision der städtischen Stipendienverordnung",Motion,a051bf3c32374d59929e0ce42f0d4c75,2018-01-17T00:00:00.000,Katharina Prelicz-Huber,Grüne,Markus Baumann,GLP,Abgeschlossen,"Überweisung mit Textänderung, Frist 24 Monate",Überweisung
Einführung einer einheitlichen digitalen ID für alle Bewohnerinnen und Bewohner der Stadt,Motion,ade2db27c44e40c0927562f5aaa2292a,2018-01-31T00:00:00.000,Isabel Garcia,FDP,Corina Gredig,GLP,Abgeschlossen,Umwandlung in Postulat,Überweisung
"Entwicklungshilfe im Ausland, Förderung von lokalen KMU mittels Impact Investments und Financial Inclusion im Umfang von mindestens der Hälfte der gesprochenen Geldern",Postulat,d26feb6f989b44e39c78f060c36f9c09,2018-01-31T00:00:00.000,Alexander Brunner,FDP,Shaibal Roy,GLP,Abgeschlossen,Ablehnung,Ablehnung
Schaffung eines digitalen Portals für die behördlichen Dienstleistungen nach dem «One-Stop-Shop»-Prinzip,Postulat,f30d90d2e9554a8791e0cbab65c50ef6,2018-01-31T00:00:00.000,Corina Gredig,GLP,Isabel Garcia,FDP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Kriterien für den Einsatz von Kopfsteinpflaster ausserhalb der Altstadt und Einschätzung der damit verbunden Vor- und Nachteile sowie der Mehrkosten,Schriftliche Anfrage,87573ef5eacb47bb94890146572dc8f6,2018-01-31T00:00:00.000,Ann-Catherine Nabholz,GLP,Sven Sobernheim,GLP,Abgeschlossen,,
Ermöglichung von zivilen Trauungen in der ganzen Stadt,Postulat,bd0e64bd1d9c4d6f83a3781a7632943a,2018-02-07T00:00:00.000,Corina Gredig,GLP,Guy Krayenbühl,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Einschränkung der Öffnungszeiten für den Platzspitz, Anzahl der Lärmbeschwerden und Einsätze der Polizei sowie Entwicklung der Abfallmenge und der Zusatzkosten für die Reinigung",Schriftliche Anfrage,cfeeb97243b4449dac0a450a8fd86c81,2018-02-07T00:00:00.000,Michael Kraft,SP,Sven Sobernheim,GLP,Abgeschlossen,,
Einsatz von mindestens 10 Prozent der finanziellen Mittel für die unterstützten Trägerschaften von soziokulturellen Angeboten für die Digitalisierung der Infrastrukturen und Organisationen,Postulat,1eb3eb1aae574c9c838f228813567649,2018-02-28T00:00:00.000,Markus Baumann,GLP,Isabel Garcia,FDP,InBearbeitung,"Überweisung mit Textänderung, Frist 24 Monate",Überweisung
Multifunktionale Auslegung des Fernwärmenetzes im Zusammenhang mit der Planung und Projektierung der Fernwärmeverbindungsleitung,Postulat,f52d078b7e2145cd9700b4535d65d19f,2018-04-04T00:00:00.000,Markus Kunz,Grüne,Guido Hüni,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Berücksichtigung der Raumbedürfnisse neuer Technologien im Energiebereich am Werkstandort Josefstrasse,Postulat,1e27a4be1a5e49d0993d71094670b6fd,2018-04-04T00:00:00.000,Guido Hüni,GLP,Markus Kunz,Grüne,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Wohnungssituation für ältere Menschen in der Stadt, Einschätzung der Nachfragesteigerung und mögliche Hilfestellungen der Beratungsstelle «Wohnen im Alter» sowie Wartefristen und Wartelisten für städtische Alterswohnung und Kriterien für deren Vergabe",Schriftliche Anfrage,876e0c2a948d4e459e46d24bf93a9176,2018-04-18T00:00:00.000,Elisabeth Schoch,FDP,Guy Krayenbühl,GLP,Abgeschlossen,,
"Kontrolle der Lebensmittel durch das Lebensmittelinspektorat, Angaben zum 
heutigen Kostendeckungsgrad des Inspektorats und zur allfälligen finanziellen Entlastung bei Übertragung der Aufgabe an den Kanton sowie Gründe für das Festhalten an der kommunalen Zuständigkeit",Schriftliche Anfrage,18056e6c1c9a4215bee91b47be702b7f,2018-05-30T00:00:00.000,Guy Krayenbühl,GLP,Markus Baumann,GLP,Abgeschlossen,,
"Realisierung von Begegnungszonen, aktueller Planungsstand und städtische Strategie zur Erstellung von Begegnungszonen sowie Richtlinien und Spielräume zur Gestaltung der Zonen",Schriftliche Anfrage,e270403d99914b3a93e71b19272171a9,2018-06-06T00:00:00.000,Guido Hüni,GLP,Andreas Kirstein,AL,Abgeschlossen,,
"Sicherere Gestaltung der Fussgängerübergänge an der Kreuzung Maneggbrücke, Butzen- und Allmendstrasse",Postulat,15eb8c48ff8d432785384db0cf1cc09a,2018-06-06T00:00:00.000,Guy Krayenbühl,GLP,Sven Sobernheim,GLP,Abgeschlossen,Rückzug,Rückzug
