Titel,Geschäftsart,ID,Datum,Erstunterzeichner,Partei Erstunterzeichner,Mitunterzeichner,Partei Mitunterzeichner,Geschäftsstatus,Entscheid,_entscheidbereinigt
Rascher Ausbau der Fussballplätze in den Quartieren,Motion,265e06c2cfdb471ca7ae6e14df82ef11,2022-07-06T00:00:00.000,Flurin Capaul,FDP,Sebastian Vogel,FDP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Kumo6, Sicherung des Standorts am Bucheggplatz und unbefristete Weiterführung des Betriebs nach dem Umbau der Fusswegverbindungen",Postulat,9bf5bff59e3f4926a5a947a55beb75a4,2022-07-06T00:00:00.000,Nicole Giger,SP,Sebastian Vogel,FDP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Nutzungsdruck auf den Natur- und Kunstrasensportflächen, Gründe für das festgelegte Verhältnis von Natur- und Kunstrasen, Vor- und Nachteile des Kunstrasens, Berücksichtigung wissenschaftlicher Erkenntnisse zu den ökologischen Auswirkungen sowie Unterhaltskosten",Schriftliche Anfrage,70048818f210456882a1c98e7488373e,2022-07-06T00:00:00.000,Anjushka Früh,SP,Yasmine Bourgeois,FDP,Abgeschlossen,,
Investitions- und Betriebsbeitrag zur Sicherstellung und Förderung des Museums «Schauplatz Brunngasse»,Motion,d8c2bef5501e432ba36bd46f72f9231e,2022-07-06T00:00:00.000,Jehuda Spielman,FDP,Walter Angst,AL,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
Entlastung der Bucheggstrasse zwischen Bucheggplatz und Wehntalerstrasse vom Durchgangsverkehr durch eine Untertunnelung,Motion,b5aeb6a5bbdd46ce806ce52cd75ca34d,2022-07-13T00:00:00.000,Sebastian Vogel,FDP,Ronny Siev,GLP,Abgeschlossen,Ablehnung,Ablehnung
"Entwicklung von IT-Applikationen im Rahmen der Digitalisierung, Zunahme der Applikationen pro Jahr und Departement, Kriterien für eine Betrachtung der Wirtschaftlichkeit und Validierung der Vorteile und Einsparungen",Interpellation,88f8da3e36b34a86a4a2cc15cae54577,2022-07-13T00:00:00.000,Flurin Capaul,FDP,Selina Frey,GLP,Abgeschlossen,,
Rasche Impfung gegen die Affenpocken durch Interventionen bei Bund und Kanton oder durch eine eigene Organisation der Impfung,Postulat,8f8f7b7536434b9585cf7702ad9c6319,2022-08-24T00:00:00.000,Marco Denoth,SP,Flurin Capaul,FDP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Renovation der Liegenschaften Forchstrasse 193, Freiestrasse 217 und 221 sowie Gattikerstrasse 4 ohne Schliessung der Gewerbebetriebe im Erdgeschoss",Postulat,b8364fe8ce8c43c3b959d81a4679204a,2022-08-24T00:00:00.000,Dominique Zygmont,FDP,Cathrine Pauli,FDP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Unterstützung der Bauherrschaften durch die Kreisarchitektinnen und Kreisarchitekten, Anzahl Beratungen pro Gebiet und Jahr, Feedbacks zur Qualität der Beratung, Angaben zu den Baueingaben, die nach Auskünften nicht bewilligt wurden und Möglichkeit zur Delegation von Kompetenzen hinsichtlich der Erteilung von rechtsverbindlichen Auskünften",Schriftliche Anfrage,53c10735303643368a678d9ccbcd130b,2022-08-24T00:00:00.000,Flurin Capaul,FDP,Albert Leiser,FDP,Abgeschlossen,,
"Starkstrombogen der Sihltal Zürich Uetliberg Bahn (SZU) an der Kreuzung Friesenbergstrasse, Einbezug des Quartiers und des Stadtrats in die Planung, Beurteilung des Torbogens aus städtebaulicher Sicht, Kosten der Planung und Ausführung sowie Prüfung alternativer Varianten",Schriftliche Anfrage,cb10d5caa28a48708abb18e5f4c5362b,2022-08-24T00:00:00.000,Flurin Capaul,FDP,Jehuda Spielman,FDP,Abgeschlossen,,
